tabs_opened,ram_gb
30.853804,5.3164687
31.681128,5.3389673
1.9846228,1.0223789
6.5165544,1.6761967
13.138535,2.773402
36.608902,6.041924
22.494858,3.899545
5.9160056,1.1322217
20.622105,3.480885
5.354919,1.468297
16.227564,3.3878043
15.137986,2.7574747
37.3804,5.892251
26.539865,4.756051
17.099764,2.9884787
23.794111,4.17758
14.871022,2.7344794
28.161556,4.5102277
28.213495,4.5816464
25.736649,4.4804206
12.899349,2.223094
37.13644,5.9963617
17.684786,3.2210703
12.908325,2.7474425
32.713123,5.383513
36.393604,5.832939
39.905617,6.23275
26.277037,4.583272
13.85257,2.7895257
30.403894,5.0835013
37.230114,6.465643
1.3737345,1.0403401
18.084204,3.0162601
7.2016735,1.8054255
24.134016,4.1711802
28.564903,5.0736785
16.471537,3.2245452
18.868685,2.8932748
29.27716,4.9424453
17.222641,3.0783222
4.1243,1.4445598
36.10265,5.6062617
10.685368,2.0688853
18.35776,3.3047214
22.339365,4.032035
19.328112,3.0766237
2.1566234,0.4742243
29.4466,5.423768
11.642486,1.9918505
10.386138,1.9325725
25.158852,4.5480795
10.32369,1.9608154
11.487887,1.9593176
13.929476,2.948305
13.174287,2.4338827
12.35607,2.2082908
15.241126,2.7839503
25.567577,4.13608
4.72025,1.1481669
8.697035,1.6890173
20.784533,3.8462472
23.211828,3.8628342
31.269703,5.2977176
6.802343,1.7078904
26.72434,4.7527843
31.583601,5.224945
31.327574,5.428409
2.3372803,0.9616667
13.058718,2.358521
3.7384706,1.2310319
8.160177,1.4694855
31.361166,5.283041
17.588278,3.1770782
28.781872,4.7172832
9.053376,1.7479963
23.463219,4.0605106
8.705271,1.5732518
30.247894,5.2229795
11.971109,2.244876
15.610197,2.823994
3.5811894,1.0441738
20.564419,3.4879904
39.014862,6.107015
29.964874,4.6668186
10.095951,2.0603817
20.762249,3.5244102
18.361855,3.1727414
4.801053,1.4023688
35.789776,6.2797003
20.814354,3.5752087
24.606642,3.9218712
12.625335,2.3099575
11.375577,2.4370184
23.715347,4.627008
27.709362,4.507921
24.873812,4.305324
11.102072,2.2918892
39.432507,6.2050915
17.629515,3.0399349
8.557906,1.9287794
11.379603,2.024274
39.696205,6.8406034
20.500938,3.4258747
17.852987,3.1757195
12.384846,2.1908414
15.3881645,2.70979
4.076544,1.2430902
5.0036726,1.5162461
31.913145,5.121398
37.181263,6.133695
39.108856,6.2039576
6.422125,1.3356296
31.046833,5.2279253
8.430152,1.7083753
32.132923,5.271287
34.57031,6.1344833
35.590485,5.3832865
34.541,5.863986
32.698677,5.5883274
20.879541,3.7482638
29.459908,4.9255037
13.523467,2.4189255
28.990978,4.7499113
14.232662,2.607196
20.17257,3.5262995
3.5276124,0.86423427
15.401245,2.314943
10.245478,1.8995422
13.922244,2.6049778
8.047563,1.5226929
2.9608376,0.8698973
21.769772,4.1393785
33.155094,5.3433175
38.259613,6.258858
31.879307,5.0181904
10.392422,1.8584236
1.2143102,0.6876582
27.89662,5.084704
31.426123,5.1889973
3.759015,0.75223625
27.492428,4.811793
36.986805,5.982528
21.681242,3.642734
8.752052,1.7915024
36.487587,5.9019504
28.82681,4.720251
33.41292,5.4333906
7.312433,1.6266819
31.847939,5.225127
7.180064,1.4345083
39.79514,6.317713
12.237855,2.2145424
32.250057,5.597075
24.40471,4.226418
25.667704,4.379894
17.509577,3.3072786
28.50934,4.7684813
12.372948,2.4231956
2.1197042,0.6275623
13.00804,2.433901
35.779003,5.9736547
15.366241,2.6276143
26.62921,4.653656
